Fecha;Qué hice ayer?;Qué haré hoy?;Impedimentos
24/04/2026;Investigar SDK de Azure Document Intelligence;Implementar AzureOCRAdapter;Credenciales de Azure pendientes
27/04/2026;Investigar SDK de Azure Document Intelligence;Implementar AzureOCRAdapter;Credenciales de Azure pendientes
28/04/2026;Implementar AzureOCRAdapter;Crear Worker asíncrono para OCR;Ninguno
29/04/2026;Implementar AzureOCRAdapter;Crear Worker asíncrono para OCR;Ninguno
30/04/2026;Crear Worker asíncrono para OCR;Integrar RabbitMQ/Eventos para OCR;Ninguno
01/05/2026;Crear Worker asíncrono para OCR;Integrar RabbitMQ/Eventos para OCR;Ninguno
04/05/2026;Integrar RabbitMQ/Eventos para OCR;Desarrollar UploadBatchUseCase;Ninguno
05/05/2026;Integrar RabbitMQ/Eventos para OCR;Desarrollar UploadBatchUseCase;Ninguno
06/05/2026;Desarrollar UploadBatchUseCase;Validación de subida de archivos (mimetypes);Ninguno
07/05/2026;Desarrollar UploadBatchUseCase;Validación de subida de archivos (mimetypes);Ninguno
08/05/2026;Validación de subida de archivos;Implementar lógica de extracción por lotes;Ninguno
11/05/2026;Validación de subida de archivos;Implementar lógica de extracción por lotes;Ninguno
12/05/2026;Implementar lógica de extracción por lotes;Mapear respuestas JSON de Azure a Raw DTOs;Ninguno
13/05/2026;Mapear respuestas JSON de Azure a Raw DTOs;Desarrollar motor de reglas (Triage Engine);Ninguno
14/05/2026;Mapear respuestas JSON de Azure a Raw DTOs;Desarrollar motor de reglas (Triage Engine);Ninguno
15/05/2026;Desarrollar motor de reglas (Triage Engine);Implementar EducaRawToEnrichedMapper;Ninguno
18/05/2026;Desarrollar motor de reglas (Triage Engine);Implementar EducaRawToEnrichedMapper;Ninguno
19/05/2026;Implementar EducaRawToEnrichedMapper;Implementar NormalizerRegistry (Fechas, Nombres);Ninguno
20/05/2026;Implementar EducaRawToEnrichedMapper;Implementar NormalizerRegistry (Fechas, Nombres);Ninguno
21/05/2026;Implementar NormalizerRegistry;Desarrollar DniFormatRule y Crosscheck Rules;Complejidad en validación cruzada
22/05/2026;Implementar NormalizerRegistry;Desarrollar DniFormatRule y Crosscheck Rules;Complejidad en validación cruzada
25/05/2026;Desarrollar DniFormatRule y Crosscheck Rules;Implementar MissingDocumentsRule;Ninguno
26/05/2026;Desarrollar DniFormatRule y Crosscheck Rules;Implementar MissingDocumentsRule;Ninguno
27/05/2026;Implementar MissingDocumentsRule;Crear TriageCase entity y estados (PENDING_REVIEW);Ninguno
28/05/2026;Implementar MissingDocumentsRule;Crear TriageCase entity y estados (PENDING_REVIEW);Ninguno
29/05/2026;Crear TriageCase entity y estados;Desarrollar endpoint GetTriageCaseById;Ninguno
01/06/2026;Crear TriageCase entity y estados;Desarrollar endpoint GetTriageCaseById;Ninguno
02/06/2026;Desarrollar endpoint GetTriageCaseById;Integrar Frontend (React) con GetTriageCase;CORS issues
03/06/2026;Desarrollar endpoint GetTriageCaseById;Integrar Frontend (React) con GetTriageCase;CORS issues
04/06/2026;Integrar Frontend con GetTriageCase;Diseñar UI de validación de documentos;Ninguno
05/06/2026;Integrar Frontend con GetTriageCase;Diseñar UI de validación de documentos;Ninguno
08/06/2026;Diseñar UI de validación de documentos;Implementar corrección de discrepancias;Ninguno
09/06/2026;Diseñar UI de validación de documentos;Implementar corrección de discrepancias;Ninguno
10/06/2026;Implementar corrección de discrepancias;Desarrollar SubmitTriageCorrectionUseCase;Ninguno
11/06/2026;Implementar corrección de discrepancias;Desarrollar SubmitTriageCorrectionUseCase;Ninguno
12/06/2026;Desarrollar SubmitTriageCorrectionUseCase;Añadir soporte para Documentos Faltantes;Ninguno
15/06/2026;Desarrollar SubmitTriageCorrectionUseCase;Añadir soporte para Documentos Faltantes;Ninguno
16/06/2026;Añadir soporte para Documentos Faltantes;Crear estado INCOMPLETE en Triage;Ninguno
17/06/2026;Añadir soporte para Documentos Faltantes;Crear estado INCOMPLETE en Triage;Ninguno
18/06/2026;Crear estado INCOMPLETE en Triage;Desarrollar UploadMissingDocumentUseCase;Ninguno
19/06/2026;Crear estado INCOMPLETE en Triage;Desarrollar UploadMissingDocumentUseCase;Ninguno
22/06/2026;Desarrollar UploadMissingDocumentUseCase;Actualizar TriageStrategy con short-circuit;Ninguno
23/06/2026;Desarrollar UploadMissingDocumentUseCase;Actualizar TriageStrategy con short-circuit;Ninguno
24/06/2026;Actualizar TriageStrategy con short-circuit;Corregir errores de tipado (Value Objects);Ninguno
25/06/2026;Actualizar TriageStrategy con short-circuit;Corregir errores de tipado (Value Objects);Ninguno
26/06/2026;Corregir errores de tipado;Solucionar bug de contaminación cross-batch en BD;Falta refinar consultas SQLAlchemy
